rank,french,pos,gender,english,sentence_fr,sentence_en,ipa
1,le,"det, pro",,"the; him, her, it, them","vive la politique, vive l’amour","long live politics, long live love",lə
2,de,"det, prep",,"of, from, some, any",il ne rêve que d’argent et de plaisirs,he only dreams of money and pleasure,"də, dy, de"
3,un,"adj, det, nm, pro",,"a, an, one",je me suis cassé un ongle,I broke one of my fingernails,œ͂
4,à,prep,,"to, at, in",ils restent à l’école le plus longtemps possible,they remain at school as long as possible,a
5,être,"nm,v",,to be; being,tout le monde veut être beau,everybody wants to be beautiful,ɛtʀ
6,et,conj,,and,et les larmes se remirent à couler,and the tears started flowing again,e
7,en,"adv,prep,pro",,"in, by",je suis retournée en Espagne en septembre,I returned to Spain in September,ɑ͂
8,avoir,"nm,v",,to have,on était six donc tu peux pas avoir une conversation,there were six of us so you can’t have a conversation,avwaʀ
9,que,"adv,conj,pro",,"that, which, who, whom",c’est un soldat. mais que fait-il ici?,it’s a soldier. but what’s he doing here?,kə
10,pour,prep,,"for, in order to",elle jouait pour gagner,she played to win,puʀ
11,dans,prep,,"in, into, from",je reviendrai dans dix minutes,I will return in 10 minutes,dɑ͂
12,ce,"det,pro",,"this, that",je ne déteste pas cet homme,I do not detest this man,sə
13,il,pro,,"he, it",allez voir s’il est blessé,go see if he is injured,il
14,qui,pro,,"who, whom",je ne sais pas à qui m’adresser,I don’t know who to talk to,ki
15,ne,adv,,not,nous ne faisons pas du très bon travail,we are not doing very good work,nə
16,sur,"adj,prep",,"on, upon",t’avais une chance sur un million,you had one chance in a million,syʀ
17,se,pro,,"oneself, himself, herself, itself, themselves","avec ce traité, le Japon se rapproche des Etats-Unis","with this treaty, Japan brings itself closer to the U.S.",sə
18,pas,"adv,nm(pl)",masculine,"not, n’t; footstep","non, ne touchez pas!","no, don’t touch it!",pɑ
19,plus,adv,,"more, no more",il est considérablement plus jeune que moi,he’s considerably younger than I am,ply
20,pouvoir,"nm,v",,"can, to be able to",tu peux jouer de la guitare électrique,you can play electric guitar,puvwaʀ
21,par,prep,,by,il s’y trouvait par hasard,he found himself there by accident,paʀ
22,je,pro,,I,je suis contente de vous revoir,I am happy to see you again,"ʒə, ʒ"
23,avec,prep,,with,vous voulez aller au ciné avec moi?,do you want to go to a movie with me?,avɛk
24,tout,"adv,det,nadj,pro",,"all, very","comme vous voyez, tout est propre","as you see, everything is clean",tu
25,faire,"nm,v",,"to do, make",qu’est-ce qu’il fait?,what’s he doing?,fɛʀ
26,son,"det,nm",masculine,"his, her, its; sound; bran",un ami ingénieur du son m’aide pour les arrangements,a sound engineer friend of mine helped me with the arrangements,sɔ͂
27,mettre,v,,"to put, place",je peux me mettre à votre table?,may I sit at your table?,mɛtʀ
28,autre,"det,nadj(f),pro",,other,il y a un autre problème,there’s another problem,otʀ
29,on,pro,,"one, we",on tire et on pose les questions ensuite,we shoot first and ask questions later,ɔ͂
30,mais,"adv,conj,intj",,but,"je ne suis pas riche, mais je connais la vérité","I’m not rich, but I know the truth",mɛ
31,nous,pro,,"we, us",nous devons nous défendre nous-mêmes,we must defend ourselves,nu
32,comme,"adv,conj",,"like, as","Tony et moi, on est comme des frères","Tony and I, we’re like brothers",kɔm
33,ou,conj,,or,il en reste du café ou pas?,is there some coffee left or not?,u
34,si,"adv,conj,nmi",,"if, whether","aujourd’hui, notre économie va si mal",today our economy is going so poorly,si
35,leur,"det,adj(f),pro",,"them, their, theirs",l’énergie solaire assurait leur survie,solar energy assured their survival,lœʀ
36,y,"adv,nmi,pro",,there,c’est certain qu’on va y aller,it’s for certain that we’ll be going there,igʀɛk
37,dire,"nm,v",,to say,je décrochais le téléphone sans rien dire à personne,I picked up the telephone receiver without saying anything to anyone,diʀ
38,elle,pro,,"she, her",j’étais fou amoureux. elle m’aimait bien,I was head-over-heels in love. she loved me a lot,ɛl
39,devoir,"nm,v",,"to have to, owe; duty",je dois travailler sans la moindre entrave,I must work without the least bit of hindrance,d(ə)vwaʀ
40,avant,"adji,adv,nm,prep",,before,tu vas te pencher en avant,you’re going to lean forward,avɑ͂
41,deux,"det,nmi",,two,il prend le train deux fois par semaine pour affaires,he takes the train on business twice per week,dø
42,même,"adj(f),adv,pro",,"same, even, self",ils ne s’excusent même pas,they don’t even excuse themselves,mɛm
43,prendre,v,,to take,elle lui prit la main,she took him by the hand,pʀɑ͂dʀ
44,aussi,"adv,conj",,"too, also, as",je rêvais aussi de beaucoup voyager,I also dreamed of traveling a lot,osi
45,celui,pro,,"that, the one, he, him",tu es celui que je respecte le plus,you’re the one I respect the most,səlɥi
46,donner,v,,to give,j’aurais donné ma vie pour lui,I would have given my life for him,dɔne
47,bien,"adji,adv,nm",masculine,well,tout va bien maintenant,everything’s going well now,bjɛ͂
48,où,"adv,pro",,where,on ne dit pas où il vit,they aren’t saying where he lives,u
49,fois,nf(pl),feminine,"time, times",lève la main une fois,raise your hand one time,fwa
50,vous,pro,,you,"ici, vous avez une personnalité publique","here, you are a public personality",vu
51,encore,adv,,"again, yet",tu as encore menti à ta femme,you lied once again to your wife,ɑ͂kɔʀ
52,nouveau,"adj,nm",,new,il a construit une nouvelle vie ici,he made a new life for himself here,nuvo
53,aller,"nm,v",,to go,"tu devrais aller te coucher, tu as l’air vanné","you should go to bed, you look wiped out",ale
54,cela,pro,,"that, it",cela demande de l’intégrité et du courage,that requires integrity and courage,s(ə)la
55,entre,prep,,between,je marche entre les maisons,I’m walking between the houses,ɑ͂tʀ
56,premier,"det,nadj",,first,"est-elle la première épouse, la deuxième?","is she the first wife, the second one?",pʀəmje
57,vouloir,"nm,v",,to want,tu veux faire ton chemin. c’est bien,you want to continue on your way. that’s OK,vulwaʀ
58,déjà,adv,,already,les rues étaient déjà pleines de monde,the streets were already full of people,deʒa
59,grand,"adv,nadj",,"great, big, tall",tu es plus grand que je pensais,you’re taller than I thought,"gʀɑ͂, gʀɑ͂d"
60,mon,det,,my,t’aurais pu rencontrer mon copain,you could’ve met my buddy,"mɔ͂, me"
61,me,pro,,"me, to me, myself",reviens me voir dans cinq ou six ans,come back to see me in five or six years,mə
62,moins,"adji(pl),adv,nm(pl),prep",,less,il avait moins d’excuses encore que ses complices,he had even less excuses than his accomplices did,mwɛ͂
63,aucun,"det,adj,pro",,"none, either, neither, not any",trop d’argent et aucun goût,too much money and no taste,"okœ͂, okyn"
64,lui,pro,,"him, her",mais j’ai confiance qu’en lui,but I have confidence in him,lɥi
65,temps,nm(pl),masculine,time,"sur le plan spirituel, le temps n’existe pas","on the spiritual level, time does not exist",tɑ͂
66,très,adv,,very,"j’ai été bonne? très, très bonne","was I good? very, very good",tʀɛ
67,savoir,"nm,v",,to know,je ne savais plus quoi dire,I didn’t know what to say any more,savwaʀ
68,falloir,v,,"to take, require, need","il ne faut pas être raciste, point","there’s no need to be a racist, at all",falwaʀ
69,voir,v,,to see,je tenais seulement à te voir pour te dire ... bonne chance,I just wanted to see you to say ... good luck,vwaʀ
70,quelque,"adv,adj,det",,some,il restera pour quelques mois,he will stay for a few months,kɛlk
71,sans,prep,,without,je fais plus jeune sans maquillage,I look younger without makeup,sɑ͂
72,raison,nf,feminine,reason,"elle a raison, tu sais","she’s right, you know",ʀɛzɔ͂
73,notre,det,,our,notre ville a le sens de la communauté,our city has a sense of community,"nɔtʀ, no"
74,dont,pro,,"whose, of which",on a tout ce dont tu rêvais en ville,everything you dreamed about is available in town,dɔ͂
75,non,"adv,nmi",,"no, not","non, je ne peux pas parler maintenant","no, I can’t talk now",nɔ͂
76,an,nm,masculine,year,j’avais un an à la mort de mon père,I was one year old when my father died,ɑ͂
77,monde,nm,masculine,"world, people",notre ultime but est de reconstruire le monde,our ultimate goal is to remake the world,mɔ͂d
78,jour,nm,masculine,day,"un jour, je retrouverais mes vrais parents","one day, I would find my real parents",ʒuʀ
79,monsieur,nm,masculine,"mister, sir, gentleman","comment allez-vous , monsieur?","how are you, sir?","məsjø, mesjø"
80,demander,v,,to ask for,j’ai un service à vous demander,I would like to ask you to do something for me,d(ə)mɑ͂de
81,alors,adv,,"then, so",et alors? vous revenez quand?,so? when are you coming back ?,alɔʀ
82,après,"adv,prep",,after,il a succombé à ses blessures peu après,he shortly thereafter succumbed to his wounds,apʀɛ
83,trouver,v,,to find,j’ai trouvé du sang. sur le siège avant,I found some blood. on the front seat,tʀuve
84,personne,"nf,pro",feminine,"person, people, anybody, anyone, nobody",il ne parlait à personne en particulier,he was speaking to nobody in particular,pɛʀsɔn
85,rendre,v,,"to render, return, yield, give up",je m’y rendis à 4 heures du matin,I went there at 4 o’clock in the morning,ʀɑ͂dʀ
86,part,nf,feminine,share,je voudrais vous faire part de quelques données,I want to share some data with you,paʀ
87,dernier,nadj,,last,c’est le dernier endroit où vous auriez dû vous rencontrer,that’s the last place you should have met,dɛʀnje
88,venir,v,,to come,venez rencontrer les autres,come meet the others,v(ə)niʀ
89,pendant,"adj,prep,nm",,during; pendant,où t’étais pendant tout ce temps?,where were you all of this time?,pɑ͂dɑ͂
90,passer,v,,to pass,nous sommes passées devant la maison de ma grand-mère,we went past the front of my grandmother’s place,pɑse
91,peu,adv,masculine,little,un secret se dévoile peu à peu,a secret unfolds little by little,pø
92,lequel,pro,,"who, whom, which",il y a bien des points sur lesquels je voudrais faire des commentaires,there are many points on which I would like to comment,"ləkɛl, lakɛl, lekɛl"
93,suite,nf,feminine,"result, follow-up, rest","deux, trois et ainsi de suite","two, three, and so on",sɥit
94,bon,"adj,adv,intj,nm",masculine,good,ce n’est pas le bon moment,it’s not a good time,bɔ͂
95,comprendre,v,,to understand,je comprends que vous soyez fâché,I understand that you’re upset,kɔ͂pʀɑ͂dʀ
96,depuis,"adv,prep",,"since, for",je le connais depuis le lycée,I have known him since high school,dəpɥi
97,point,"adv,nm",masculine,point; at all,je suis d’accord avec ce point de vue,I’m in agreement with that point of view,pwɛ͂
98,ainsi,adv,,thus,qu’est-ce qui le pousse à agir ainsi?,what drives him to act that way?,ɛ͂si
99,heure,nf,feminine,hour,a quelle heure sont-ils partis?,at what time did they leave?,œʀ
100,rester,v,,to stay,"le temps qu’il te reste, trouve une solution","in the remaining time, find a solution",ʀɛste
101,seul,adj,,"alone, only",parler tout seul était signe d’aliénation,talking to oneself was a sign of loneliness,sœl
102,année,nf,feminine,year,il devait se présenter l’année suivante,he had to show up the next year,ane
103,toujours,adv,,always,tu es toujours en retard,you’re always late,tuʒuʀ
104,tenir,v,,to hold,c’est une porte de sécurité. tiens ça,it’s a security door. hold this,t(ə)niʀ
105,porter,"nm,v",,"to wear, carry",il a porté le maillot jaune un jour,he wore the yellow jersey one day,pɔʀte
106,parler,"nm,v",,to speak,je sais de quoi je parle,I know what I’m talking about,paʀle
107,fort,"adv,adj,nm",masculine,strong,c’est une femme forte,she is a strong woman,fɔʀ
108,montrer,v,,to show,c’est une étrange façon de montrer votre reconnaissance,that’s a strange way to show your gratitude,mɔ͂tʀe
109,là,"adv,intj",,"there, here",je n’étais pas passé par là,I hadn’t passed by there,la
110,certain,"adj,det,nm,pro",,"certain, sure",certains ont affirmé que le gouvernement était trop faible,some contend that the government was too weak,"sɛʀtɛ͂, ɛn"
111,fin,"adj,adv,nf,nm",feminine,end; gist; clever person,la fin est importante en toutes choses,the endingisimportantineverything,fɛ͂
112,tu,pro,,you,"a ma place, tu ne le ferais pas","in my position, you would not do it",ty
113,continuer,v,,to continue,tu continues de m’impressionner,you continue to impress me,kɔ͂tinɥe
114,pays,nm(pl),masculine,country,ils vivent dans ce beau pays,they live in this beautiful country,pei
115,trois,"det,nmi",,three,les trois chasseurs étaient en pleine lumière,the three hunters were directly in the light,tʀwɑ
116,penser,"nm,v",,to think,je pense que vous le connaissez bien,I think you know him very well,pɑ͂se
117,lieu,nm,masculine,place,je suis né dans un lieu public,I was born in a public place,ljø
118,partie,nf,feminine,part,il garde la majeure partie de cet argent,he’s keeping most of that money,paʀti
119,quand,"adv,conj",,when,tu aurais dû me tuer quand tu en as eu l’occasion,you should have killed me when you had the chance,kɑ͂
120,suivre,v,,to follow,"les autres, suivez-moi!","everybody else, follow me!",sɥivʀ
121,contre,"adv,nm,prep",,against,"je vois, tu es en colère contre moi",I see you’re angry with me,kɔ͂tʀ
122,sous,prep,,under,juste sous ton nez,right under your nose,su
123,côté,nm,masculine,side,il s’arrête à côté du fauteuil,he stops beside the armchair,kote
124,ensemble,"adv,nm",masculine,together,on n’a jamais été si bien ensemble,we’ve never gotten along so well together,ɑ͂sɑ͂bl
125,chose,"adj(f),nf",feminine,thing,les choses pourraient bien changer à l’avenir,things could change in the future,ʃoz
126,enfant,"nm,nf,adj(f)",masc / fem,child,mes enfants sont en vie,my children are alive,ɑ͂fɑ͂
127,cause,nf,feminine,cause,ces hallucinations ont une cause,these hallucinations have a cause,koz
128,politique,nadj(f),feminine,politics; political,elle se spécialise en sciences politiques,her specialty is political science,pɔlitik
129,place,nf,feminine,"room, space, square, place",je n’aimerais pas être à votre place,I wouldn’t want to be in your stead,plas
130,seulement,adv,,only,"on va seulement rester quelques jours, ma chérie","we’re only going to stay a few days, my dear",sœlmɑ͂
131,moi,"nm,pro",,me,tu sors avec moi ce soir?,are you going out with me tonight?,mwa
132,vie,nf,feminine,life,je suis sûr qu’elle est en vie,I’m sure she’s alive,vi
133,connaître,v,,to know,je le connaissais depuis vingt ans,I had known him for twenty years,kɔnɛtʀ
134,jusque,"adv,prep",,"to, up to, until",ils me poursuivirent jusque dans la rue,they followed me right into the street,ʒysk
135,croire,v,,to believe,je n’arrive pas à y croire,I just can’t believe it,kʀwaʀ
136,homme,nm,masculine,man,l’homme est plus important que l’État,man is more important than country,ɔm
137,cas,nm(pl),masculine,case,"en tout cas, moi, je ne l’ai pas","in any case, I don’t have it",kɑ
138,petit,nadj,masculine,"small, little",ce petit drogué n’a pas tort,this little drug addict isn’t wrong,"p(ə)ti, it"
139,commencer,v,,"to begin, start",il est important que ces entretiens commencent immédiatement,it’s important that these meetings start immediately,kɔmɑ͂se
140,compter,v,,to count,je peux compter sur toi,I can count on you,kɔ͂te
141,fait,"adj,nm",masculine,"done, fact","dans les faits, il a raison","factually, he is correct",fɛ
142,tel,"adj,det,pro",,such,je vais m’abstenir d’employer un tel langage,I’m going to refrain from using such language,tɛl
143,droit,"adj,adv,nm",masculine,right,elle a le droit de tout savoir,she has the right to know everything,dʀwa
144,question,nf,feminine,question,je suis gêné de répondre à cette question,I’m embarrassed to answer this question,kɛstjɔ͂
145,donc,conj,,"so, then, therefore, thus",nous avons donc dû faire les calculs nous-mêmes,we had to do the calculations ourselves,dɔ͂k
146,quel,"det,adj,pro",,"which, what",quel livre cherchiez-vous?,which book are you looking for?,kɛl
147,général,nadj,masculine,general,voici quelques conseils généraux,here are a few general pieces of advice,ʒeneʀal
148,moment,nm,masculine,moment,arrête de parler pour un moment,stop talking for a moment,mɔmɑ͂
149,entendre,v,,to hear,j’ai entendu la nouvelle,I heard the news,ɑ͂tɑ͂dʀ
150,beaucoup,adv,,"much, a lot of, many",il est en mesure de révéler beaucoup de choses,he’s in a position to reveal many things,boku
151,chaque,"det,adj",,each,chaque entreprise doit avoir sa propre organisation,every company must have its own organization,ʃak
152,jeune,nadj(f),masc / fem,young,le gouvernement cherche à exploiter les jeunes,the government is trying to exploit young people,ʒœn
153,travail,nm,masculine,work,je ne prenais pas mon travail au sérieux,I wasn’t taking my work seriously,"tʀavaj, o"
154,femme,nf,feminine,"woman, wife",je vous déclare maintenant mari et femme,I now declare you husband and wife,fam
155,attendre,v,,to wait,ma mère m’attend dans la grande salle,my mother awaits me in the large room,atɑ͂dʀ
156,remettre,v,,"to deliver, replace, set, put",on s’est remis à marcher,we resumed walking,ʀ(ə)mɛtʀ
157,appeler,v,,to call,comment s’appelle-t-il?,what’s his name?,aple
158,permettre,v,,to allow,vous permettez que j’utilise votre téléphone?,would you allow me to use your telephone?,pɛʀmɛtʀ
159,occuper,v,,to occupy,sa main droite était occupée à tenir la petite valise,his right hand was busy holding the small suitcase,ɔkype
160,gouvernement,nm,masculine,government,le gouvernement a augmenté les impôts,the government increased taxes,guvɛʀnəmɑ͂
161,eux,pro,,them,c’est eux qui comptent,they are the ones who matter,ø
162,devenir,"nm,v",,to become,je suis très heureux que vous deveniez ma voisine,I’m very happy you’ve become my neighbor,dəv(ə)niʀ
163,partir,v,,to leave,il est parti à présent,he is gone for the moment,paʀtiʀ
164,plan,"adj,nm",masculine,plan,achetez donc un plan de la ville,so buy a map of the city,"plɑ͂, plan"
165,décider,v,,to decide,j’ai décidé d’écrire un roman,I decided to write a novel,deside
166,soit,"adv,conj",,either...or,il a pas le choix: soit il est une star soit il est rien,he doesn’t have a choice: either he’s a star or he’s nothing,swat
167,ici,adv,,here,moi je reste ici,I’m going to stay here,isi
168,rien,"adv,nm,pro",,nothing,"moi, je n’en sais rien",I don’t know anything about it,ʀjɛ͂
169,cours,"nfpl,nm(pl)",masculine,course,ils organisaient des petits cours et des séminaires,they organized short courses and seminars,kuʀ
170,affaire,nf,feminine,"business, matter",occupe-toi de tes affaires,mind your own business,afɛʀ
171,nom,nm,masculine,name,quel est son nom?,what is his name?,nɔ͂
172,famille,nf,feminine,family,il provient sûrement d’une excellente famille,he surely comes from an excellent family,famij
173,effet,nm,masculine,effect,"il s’agit, en effet, d’une question cruciale","it is, indeed, a crucial question",efɛ
174,arriver,v,,"to arrive, happen",cela ne m’était pas arrivé depuis,that hasn’t happened to me since,aʀive
175,possible,adj(f),masculine,possible,nous avons donc deux scénarios possibles,so we have two possible scenarios,pɔsibl
176,car,"conj,nm",,because; bus,"c’est dommage, car tu vas perdre un gros client","it’s too bad, because you’re going to lose a major customer",kaʀ
177,servir,v,,to serve,il m’a servi une coupe de champagne,he served me a glass of champagne,sɛʀviʀ
178,mois,nm(pl),masculine,month,il a écrit ce livre en deux mois,he wrote this book in two months,mwa
179,jamais,adv,,never,je jure de ne plus jamais te contacter,I swear I will never contact you again,ʒamɛ
180,sembler,v,,to seem,le processus semble irréversible,the process seems irreversible,sɑ͂ble
181,tant,adv,,"so much, so many",mais vous avez tant à enseigner,but you have so much to teach,tɑ͂
182,vers,"nm(pl),prep",,toward; verse,un tram se dirige vers toi. monte dedans,a tram is approaching you. get on it,vɛʀ
183,besoin,nm,masculine,need,nous avons vraiment besoin d’aide,we really need some help,bəzwɛ͂
184,revenir,v,,to come back,je sais qu’elle ne reviendra jamais,I know she will never return,"ʀ(ə)vəniʀ, ʀəvniʀ"
185,dès,prep,,"from, as soon",on me fera signe dès que vous descendrez,they’ll wave to me as soon as you get down there,dɛ
186,moyen,"adj,nm",masculine,"means, way; medium",il songeait aux moyens de profiter de sa victoire,he was dreaming of a way to profit from his victory,mwajɛ͂
187,groupe,nm,masculine,group,on va commencer avec le premier groupe,we’ll start with the first group,gʀup
188,problème,nm,masculine,problem,nous avons osé soulever le problème,we dared raise the problem,pʀɔblɛm
189,rapport,nm,masculine,"relationship, report",je propose que le rapport du comité soit adopté,I move that the committee’s report be adopted,ʀapɔʀ
190,peut-être,adv,,"perhaps, maybe",j’ai peut-être une idée,I might have an idea,pøtɛtʀ
191,vue,nf,feminine,view,"la vue est belle, de cette fenêtre",the view from this window is pretty,vy
192,maintenant,adv,,now,je ne peux pas partir maintenant,I can’t leave now,mɛ͂t(ə)nɑ͂
193,pourquoi,"adv,conj,nmi",,why,pourquoi tu ne m’invites pas?,why don’t you invite me?,puʀkwa
194,meilleur,nadj,masculine,"better, best",j’apprends à être un meilleur mari,I’m learning to be a better husband,mɛjœʀ
195,trop,adv,,"too much, too many",la vie est trop courte. essayez d’être heureuse,life is too short. try to be happy,tʀo
196,laisser,v,,to leave,il va nous laisser tranquilles,he’ll leave us alone,lese
197,ordre,nm,masculine,order,ce sont des scientifiques de premier ordre,they are first-rate scientists,ɔʀdʀ
198,devant,"adv,nm,prep",masculine,"in front, ahead",une fumée montait devant nous sur l’horizon,smoke billowed ahead of us on the horizon,d(ə)vɑ͂
199,recevoir,v,,to receive,il n’a plus reçu de lettres de moi,he didn’t receive any more letters from me,"ʀəs(ə)vwaʀ, ʀ(ə)səvwaʀ"
200,répondre,v,,to answer,j’aimerais y répondre par une autre question,I would like to respond to it with another question,ʀepɔ͂dʀ
201,vivre,"nm,v",,to live,aucune Marocaine ne vit seule dans le quartier,no Moroccan woman lives alone in the neighborhood,vivʀ
202,long,"adv,nadj",masculine,"long, lengthy","l’éducation sur le long terme paiera, j’en suis convaincu","long-term education pays off, I’m convinced of that",lɔ͂
203,service,nm,masculine,service,je faisais mon service militaire,I was doing my military service,sɛʀvis
204,ministre,"nm,nf",masc / fem,minister,les ministres se sont réunis dans la nuit,the ministers met during the night,ministʀ
205,face,nf,feminine,"front, side, face",on s’est trouvés face à face,we found ourselves face to face,fas
206,chez,prep,,"at, with",elle ira peut être vivre définitivement chez lui,she might go live with him permanently,ʃe
207,te,pro,,"you, to you, from you",je vais t’emmener chez un médecin,I’m going to take you to a doctor,tə
208,rappeler,v,,"to recall, call back",je ne me rappelle pas avoir été aussi heureux,I don’t remember having been that happy,ʀap(ə)le
209,présenter,v,,to present,papa je te présente Claire,"daddy, this is Claire",pʀezɑ͂te
210,accepter,v,,to accept,j’accepte avec plaisir votre aimable invitation,I accept with pleasure your kind invitation,aksɛpte
211,agir,v,,to act,c’est le moment d’agir,now is the time to act,aʒiʀ
212,simple,nadj(f),masculine,simple,on préférerait une réponse simple,we would prefer a simple answer,sɛ͂pl
213,plusieurs,"det,adj,pro",,several,il y a plusieurs formes d’humour,there are several types of humor,plyzjœʀ
214,votre,det,,your,permettez-moi de vous parler dans votre langue,allow me to speak to you in your language,vɔtʀ
215,important,nadj,masculine,important,c’est une question extrêmement importante,it’s an extremely important question,ɛ͂pɔʀtɑ͂
216,présent,nadj,masculine,present,il est trop tard pour dîner à présent,it’s too late to have supper now,pʀezɑ͂
217,mieux,"adji(pl),adv,nm",masculine,better,je ne vous ai jamais mieux aimée,I have never loved you more,mjø
218,poser,v,,"to put, pose, ask",je ne me posais plus de questions,I didn’t ask myself any more questions,poze
219,jouer,v,,to play,les enfants jouent dehors,the children are playing outside,ʒwe
220,mot,nm,masculine,word,je ne crois pas un mot sorti de ta petite bouche,I don’t believe a single word from your little mouth,mo
221,reconnaître,v,,to recognize,Joseph reconnut le chant de la grive,Joseph recognized the thrush’s song,ʀ(ə)kɔnɛtʀ
